startup_name,founded_year,country,industry,funding_stage,total_funding_millions,number_employees,annual_revenue_millions,valuation_billions,success_score,acquired,ipo,customers_millions,tech_stack,social_media_followers,cluster,revenue_per_employee,funding_per_employee,valuation_per_employee,revenue_per_customer,funding_per_customer,valuation_per_customer,funding_to_revenue,valuation_to_revenue,revenue_to_funding,followers_per_customer
Startup_312,2011-01-01,Japan,Healthcare,Seed,136.0,2066.0,560.0,37.29,1.0,Yes,No,64.0,"PHP, Laravel",3797867.0,0,0.2709240445089502,0.06579583938074504,18.040638606676342,8.615384615384615,2.0923076923076924,573.6923076923077,0.24242424242424243,66.47058823529412,4.087591240875913,58428.723076923074
Startup_313,2000-01-01,Japan,Logistics,Series C,478.0,3921.0,496.0,13.39,5.0,No,Yes,95.0,"PHP, Laravel",3328503.0,1,0.12646608873023968,0.12187659357470679,3.414074451810301,5.166666666666667,4.979166666666667,139.47916666666666,0.9617706237424547,26.941649899396378,1.0354906054279749,34671.90625
Startup_314,2008-01-01,USA,Gaming,Seed,303.0,2904.0,275.0,10.25,3.0,No,No,11.0,"PHP, Laravel",1949316.0,2,0.09466437177280551,0.10430292598967297,3.5283993115318415,22.916666666666668,25.25,854.1666666666666,1.0978260869565217,37.13768115942029,0.9046052631578947,162443.0
Startup_315,2002-01-01,France,FinTech,Series A,190.0,678.0,846.0,4.29,2.0,No,No,10.0,"PHP, Laravel",2301315.0,0,1.2459499263622975,0.27982326951399117,6.3181148748159055,76.9090909090909,17.272727272727273,390.0,0.2243211334120425,5.064935064935065,4.429319371727749,209210.45454545456
Startup_316,2022-01-01,Germany,EdTech,Series B,419.0,2599.0,115.0,38.85,1.0,Yes,Yes,99.0,"C++, ML",3773031.0,2,0.04423076923076923,0.16115384615384615,14.942307692307692,1.15,4.19,388.5,3.6120689655172415,334.91379310344826,0.27380952380952384,37730.31
Startup_317,2008-01-01,France,Energy,Series C,225.0,3516.0,747.0,4.03,6.0,Yes,No,49.0,"Python, AI",4989570.0,1,0.2123969292010236,0.06397497867500711,1.1458629513790164,14.94,4.5,80.60000000000001,0.30080213903743314,5.387700534759359,3.3053097345132745,99791.4
Startup_318,2020-01-01,Australia,Tech,Seed,162.0,4763.0,201.0,37.81,8.0,No,Yes,43.0,"Node.js, React",2456025.0,1,0.04219143576826197,0.03400503778337532,7.936607892527288,4.568181818181818,3.6818181818181817,859.3181818181819,0.801980198019802,187.17821782178217,1.2331288343558282,55818.75
Startup_319,2010-01-01,India,Gaming,Series A,282.0,194.0,80.0,10.17,9.0,Yes,No,50.0,"PHP, Laravel",4608500.0,3,0.41025641025641024,1.4461538461538461,52.15384615384615,1.5686274509803921,5.529411764705882,199.41176470588235,3.4814814814814814,125.55555555555556,0.2826855123674912,90362.74509803922
Startup_320,2016-01-01,USA,Energy,Series C,3.0,3833.0,227.0,27.28,7.0,No,No,94.0,"Python, AI",4684497.0,3,0.05920709441836203,0.000782472613458529,7.11528429838289,2.389473684210526,0.031578947368421054,287.1578947368421,0.013157894736842105,119.64912280701755,56.75,49310.494736842105
Startup_321,2006-01-01,Canada,AI,Series B,413.0,767.0,94.0,14.6,5.0,Yes,Yes,76.0,"C++, ML",1366540.0,3,0.12239583333333333,0.5377604166666666,19.010416666666668,1.2207792207792207,5.363636363636363,189.6103896103896,4.347368421052631,153.68421052631578,0.22705314009661837,17747.272727272728
Startup_322,2021-01-01,China,Energy,Series B,233.0,2590.0,625.0,29.01,3.0,No,No,14.0,"C++, ML",4397083.0,0,0.24121960632960246,0.08992666923967581,11.196449247394828,41.666666666666664,15.533333333333333,1934.0,0.3722044728434505,46.34185303514377,2.6709401709401708,293138.86666666664
Startup_323,2020-01-01,Canada,AI,Series A,124.0,1045.0,947.0,45.05,5.0,Yes,No,93.0,"Python, AI",801676.0,0,0.9053537284894837,0.11854684512428298,43.06883365200765,10.074468085106384,1.3191489361702127,479.25531914893617,0.1308016877637131,47.5210970464135,7.576,8528.468085106382
Startup_324,2002-01-01,India,E-commerce,Series A,352.0,1531.0,261.0,31.33,7.0,No,Yes,36.0,"Node.js, React",4138196.0,3,0.17036553524804177,0.2297650130548303,20.450391644908617,7.054054054054054,9.513513513513514,846.7567567567568,1.3435114503816794,119.58015267175573,0.7393767705382436,111843.13513513513
Startup_325,2020-01-01,India,FoodTech,IPO,34.0,329.0,647.0,19.42,5.0,No,No,72.0,"Node.js, React",871560.0,0,1.9606060606060607,0.10303030303030303,58.84848484848485,8.863013698630137,0.4657534246575342,266.027397260274,0.05246913580246913,29.969135802469136,18.485714285714284,11939.17808219178
Startup_326,2020-01-01,UK,E-commerce,IPO,93.0,400.0,596.0,5.15,7.0,Yes,Yes,15.0,"Java, Spring",1541665.0,3,1.486284289276808,0.23192019950124687,12.8428927680798,37.25,5.8125,321.875,0.15577889447236182,8.626465661641541,6.340425531914893,96354.0625
Startup_327,2022-01-01,China,Tech,Series B,158.0,1490.0,381.0,28.6,3.0,No,Yes,24.0,"Node.js, React",4789791.0,2,0.25553319919517103,0.10596914822266935,19.181757209926225,15.24,6.32,1144.0,0.41361256544502617,74.86910994764398,2.3962264150943398,191591.64
Startup_328,2015-01-01,Germany,AI,Series A,260.0,694.0,580.0,49.13,4.0,Yes,Yes,16.0,"C++, ML",306004.0,0,0.8345323741007195,0.37410071942446044,70.69064748201438,34.11764705882353,15.294117647058824,2890.0,0.4475043029259897,84.56110154905336,2.2222222222222223,18000.235294117647
Startup_329,2021-01-01,China,FinTech,IPO,210.0,2889.0,516.0,41.99,1.0,Yes,Yes,27.0,"Python, AI",4678754.0,2,0.17854671280276815,0.0726643598615917,14.529411764705882,18.428571428571427,7.5,1499.642857142857,0.40618955512572535,81.21856866537718,2.4454976303317535,167098.35714285713
Startup_330,2015-01-01,Germany,FoodTech,IPO,481.0,285.0,837.0,30.5,2.0,No,Yes,49.0,"Python, AI",583856.0,0,2.9265734265734267,1.6818181818181819,106.64335664335664,16.74,9.62,610.0,0.5739856801909308,36.39618138424821,1.7365145228215768,11677.12
Startup_331,2010-01-01,Japan,E-commerce,Series A,461.0,4552.0,428.0,1.4,9.0,No,No,23.0,"Node.js, React",4284346.0,1,0.09400395343729409,0.10125192180979574,0.3074895673182517,17.833333333333332,19.208333333333332,58.333333333333336,1.0745920745920745,3.2634032634032635,0.9264069264069265,178514.41666666666
Startup_332,2017-01-01,Brazil,EdTech,Series C,260.0,3839.0,439.0,16.99,1.0,Yes,No,34.0,"Python, AI",1814605.0,2,0.11432291666666666,0.06770833333333333,4.424479166666667,12.542857142857143,7.428571428571429,485.42857142857144,0.5909090909090909,38.61363636363637,1.681992337164751,51845.857142857145
Startup_333,2004-01-01,Canada,FoodTech,IPO,129.0,4666.0,858.0,20.3,2.0,No,Yes,63.0,"Node.js, React",439094.0,1,0.18384401114206128,0.027640882794086136,4.349689307906578,13.40625,2.015625,317.1875,0.15017462165308498,23.63213038416764,6.6,6860.84375
Startup_334,2002-01-01,Brazil,Gaming,Series A,327.0,26.0,129.0,26.99,3.0,Yes,No,31.0,"Node.js, React",3953320.0,3,4.777777777777778,12.11111111111111,999.6296296296297,4.03125,10.21875,843.4375,2.5153846153846153,207.6153846153846,0.3932926829268293,123541.25
Startup_335,2007-01-01,India,EdTech,Seed,131.0,4043.0,282.0,28.51,6.0,No,No,62.0,"Node.js, React",3224595.0,2,0.06973293768545995,0.032393669634025714,7.049950544015826,4.476190476190476,2.0793650793650795,452.53968253968253,0.4628975265017668,100.74204946996467,2.1363636363636362,51184.04761904762
Startup_336,2005-01-01,Canada,E-commerce,IPO,186.0,1763.0,466.0,13.02,4.0,No,Yes,63.0,"C++, ML",3699289.0,0,0.264172335600907,0.1054421768707483,7.380952380952381,7.28125,2.90625,203.4375,0.39828693790149894,27.880085653104924,2.4919786096256686,57801.390625
Startup_337,2006-01-01,Brazil,FinTech,Series C,107.0,4458.0,507.0,11.09,4.0,No,Yes,4.0,"PHP, Laravel",3025436.0,2,0.11370262390670553,0.02399641175151379,2.4871047320026913,101.4,21.4,2218.0,0.2106299212598425,21.830708661417322,4.694444444444445,605087.2
Startup_338,2002-01-01,France,FinTech,Series A,82.0,1205.0,366.0,1.49,1.0,Yes,No,21.0,"PHP, Laravel",1582532.0,0,0.3034825870646766,0.06799336650082918,1.2354892205638475,16.636363636363637,3.727272727272727,67.72727272727273,0.22343324250681199,4.059945504087193,4.409638554216867,71933.27272727272
Startup_339,2011-01-01,Brazil,E-commerce,Series A,257.0,4889.0,148.0,37.56,7.0,No,Yes,71.0,"PHP, Laravel",1638084.0,2,0.030265848670756646,0.0525562372188139,7.680981595092025,2.0555555555555554,3.5694444444444446,521.6666666666666,1.7248322147651007,252.08053691275168,0.5736434108527132,22751.166666666668
Startup_340,2021-01-01,UK,Energy,IPO,471.0,1727.0,433.0,23.69,3.0,Yes,No,3.0,"PHP, Laravel",1883020.0,0,0.2505787037037037,0.2725694444444444,13.70949074074074,108.25,117.75,5922.5,1.0852534562211982,54.585253456221196,0.9173728813559322,470755.0
Startup_341,2006-01-01,Brazil,FoodTech,Seed,363.0,1636.0,839.0,44.1,2.0,No,No,27.0,"C++, ML",2033928.0,0,0.5125229077580941,0.2217470983506414,26.939523518631642,29.964285714285715,12.964285714285714,1575.0,0.43214285714285716,52.5,2.3049450549450547,72640.28571428571
Startup_342,2005-01-01,France,Gaming,IPO,163.0,4977.0,402.0,36.86,9.0,No,Yes,42.0,"PHP, Laravel",2856317.0,1,0.08075532342306146,0.03274407392527119,7.404580152671755,9.348837209302326,3.7906976744186047,857.2093023255813,0.4044665012406948,91.46401985111663,2.451219512195122,66425.97674418605
Startup_343,2004-01-01,China,EdTech,IPO,264.0,2039.0,3.0,2.5,7.0,No,Yes,33.0,"C++, ML",1405255.0,3,0.0014705882352941176,0.12941176470588237,1.2254901960784315,0.08823529411764706,7.764705882352941,73.52941176470588,66.0,625.0,0.011320754716981131,41331.029411764706
Startup_344,2004-01-01,UK,Healthcare,IPO,14.0,1273.0,36.0,48.42,5.0,Yes,No,82.0,"Node.js, React",616016.0,3,0.0282574568288854,0.01098901098901099,38.00627943485086,0.43373493975903615,0.1686746987951807,583.3734939759037,0.3783783783783784,1308.6486486486488,2.4,7421.879518072289
Startup_345,2000-01-01,France,E-commerce,IPO,14.0,2405.0,272.0,46.32,1.0,No,Yes,77.0,"C++, ML",1426724.0,2,0.11305070656691604,0.005818786367414797,19.251870324189525,3.4871794871794872,0.1794871794871795,593.8461538461538,0.05128205128205128,169.67032967032966,18.133333333333333,18291.333333333332
Startup_346,2018-01-01,Brazil,Energy,Seed,327.0,2068.0,200.0,13.57,1.0,No,No,78.0,"Node.js, React",2373216.0,2,0.09666505558240696,0.1580473658772354,6.558724021266312,2.5316455696202533,4.139240506329114,171.77215189873417,1.626865671641791,67.51243781094527,0.6097560975609756,30040.708860759492
Startup_347,2018-01-01,USA,Energy,Series B,358.0,3914.0,677.0,23.3,4.0,No,No,30.0,"Python, AI",879636.0,1,0.17292464878671776,0.09144316730523627,5.9514687100894,21.838709677419356,11.548387096774194,751.6129032258065,0.528023598820059,34.365781710914455,1.8857938718662952,28375.354838709678
Startup_348,2013-01-01,Canada,FoodTech,Seed,248.0,941.0,442.0,46.11,8.0,Yes,No,63.0,"Python, AI",3933317.0,3,0.4692144373673036,0.2632696390658174,48.94904458598726,6.90625,3.875,720.46875,0.5598194130925508,104.08577878103837,1.7751004016064258,61458.078125
Startup_349,2003-01-01,Australia,Energy,Series B,76.0,1583.0,252.0,33.98,4.0,Yes,Yes,44.0,"PHP, Laravel",2796652.0,3,0.1590909090909091,0.047979797979797977,21.4520202020202,5.6,1.6888888888888889,755.1111111111111,0.30039525691699603,134.3083003952569,3.272727272727273,62147.822222222225
Startup_350,2013-01-01,Germany,Logistics,Seed,99.0,2535.0,887.0,41.19,3.0,Yes,Yes,10.0,"Python, AI",819943.0,0,0.3497634069400631,0.039037854889589906,16.24211356466877,80.63636363636364,9.0,3744.5454545454545,0.11148648648648649,46.38513513513514,8.87,74540.27272727272
Startup_351,2015-01-01,China,Tech,IPO,91.0,4975.0,680.0,17.09,2.0,No,No,10.0,"Node.js, React",3835616.0,2,0.13665594855305466,0.018287781350482316,3.434485530546624,61.81818181818182,8.272727272727273,1553.6363636363637,0.13362701908957417,25.095447870778266,7.391304347826087,348692.36363636365
Startup_352,2001-01-01,India,FinTech,Series C,241.0,3376.0,241.0,21.3,4.0,No,Yes,84.0,"Python, AI",3212680.0,2,0.07136511696772282,0.07136511696772282,6.307373408350607,2.835294117647059,2.835294117647059,250.58823529411765,0.9958677685950413,88.01652892561984,0.9958677685950413,37796.23529411765
Startup_353,2012-01-01,India,FinTech,Seed,476.0,321.0,241.0,2.13,4.0,Yes,Yes,51.0,"PHP, Laravel",4399816.0,3,0.7484472049689441,1.4782608695652173,6.614906832298137,4.634615384615385,9.153846153846153,40.96153846153846,1.9669421487603307,8.801652892561984,0.5052410901467506,84611.84615384616
Startup_354,2017-01-01,Germany,FinTech,Seed,465.0,2733.0,536.0,24.03,4.0,Yes,Yes,56.0,"Node.js, React",3957009.0,0,0.1960497439648866,0.17008046817849304,8.789319678127287,9.403508771929825,8.157894736842104,421.57894736842104,0.8659217877094972,44.74860335195531,1.150214592274678,69421.21052631579
Startup_355,2018-01-01,France,EdTech,Seed,374.0,1058.0,118.0,38.57,6.0,Yes,Yes,44.0,"Java, Spring",2993599.0,3,0.11142587346553352,0.35316336166194523,36.421152030217186,2.6222222222222222,8.311111111111112,857.1111111111111,3.142857142857143,324.11764705882354,0.31466666666666665,66524.42222222222
Startup_356,2013-01-01,USA,FinTech,Seed,65.0,2813.0,474.0,23.89,4.0,Yes,Yes,97.0,"Java, Spring",146847.0,2,0.16844349680170576,0.023098791755508174,8.489694385216774,4.836734693877551,0.6632653061224489,243.77551020408163,0.1368421052631579,50.294736842105266,7.181818181818182,1498.438775510204
Startup_357,2014-01-01,China,Energy,Series A,399.0,4231.0,277.0,45.4,8.0,Yes,No,69.0,"C++, ML",1280316.0,1,0.06545368620037807,0.09428166351606805,10.727788279773156,3.9571428571428573,5.7,648.5714285714286,1.435251798561151,163.30935251798562,0.6925,18290.22857142857
Startup_358,2003-01-01,UK,AI,Seed,138.0,1582.0,92.0,20.89,9.0,Yes,No,3.0,"Node.js, React",4277587.0,3,0.05811749842072015,0.08717624763108023,13.196462413139608,23.0,34.5,5222.5,1.4838709677419355,224.6236559139785,0.6618705035971223,1069396.75
Startup_359,2015-01-01,India,Gaming,Series B,166.0,3556.0,350.0,16.28,8.0,Yes,No,16.0,"Node.js, React",2506865.0,1,0.09839752600506045,0.04666854090525724,4.576890638178241,20.58823529411765,9.764705882352942,957.6470588235295,0.47293447293447294,46.38176638176639,2.095808383233533,147462.64705882352
Startup_360,2004-01-01,Japan,Gaming,Seed,238.0,2403.0,187.0,1.34,3.0,No,Yes,23.0,"Node.js, React",279098.0,2,0.07778702163061564,0.09900166389351081,0.5574043261231281,7.791666666666667,9.916666666666666,55.833333333333336,1.2659574468085106,7.127659574468085,0.7824267782426778,11629.083333333334
Startup_361,2004-01-01,Australia,Gaming,Series C,105.0,4196.0,960.0,48.53,8.0,No,No,49.0,"Node.js, React",4354259.0,1,0.22873481057898498,0.02501786990707648,11.563021205623064,19.2,2.1,970.6,0.10926118626430802,50.499479708636834,9.056603773584905,87085.18
Startup_362,2018-01-01,Germany,EdTech,Series A,363.0,2007.0,952.0,0.61,5.0,No,Yes,94.0,"Node.js, React",27367.0,0,0.47410358565737054,0.1807768924302789,0.30378486055776893,10.021052631578947,3.8210526315789473,6.421052631578948,0.3809024134312697,0.640083945435467,2.6153846153846154,288.0736842105263
Startup_363,2001-01-01,Australia,Tech,IPO,75.0,436.0,375.0,2.13,2.0,Yes,Yes,14.0,"C++, ML",1078308.0,0,0.8581235697940504,0.17162471395881007,4.874141876430206,25.0,5.0,142.0,0.19946808510638298,5.664893617021277,4.934210526315789,71887.2
Startup_364,2003-01-01,Australia,EdTech,Series C,345.0,12.0,434.0,49.71,5.0,Yes,No,71.0,"C++, ML",4695646.0,3,33.38461538461539,26.53846153846154,3823.846153846154,6.027777777777778,4.791666666666667,690.4166666666666,0.7931034482758621,114.27586206896552,1.254335260115607,65217.305555555555
Startup_365,2020-01-01,USA,EdTech,Seed,434.0,2465.0,514.0,8.32,8.0,No,Yes,9.0,"Node.js, React",1971001.0,1,0.20843471208434713,0.1759935117599351,3.3738848337388485,51.4,43.4,832.0,0.8427184466019417,16.155339805825243,1.181609195402299,197100.1
Startup_366,2015-01-01,Japan,EdTech,Series B,482.0,1903.0,643.0,47.58,5.0,Yes,No,68.0,"Node.js, React",2669171.0,0,0.33771008403361347,0.25315126050420167,24.98949579831933,9.318840579710145,6.9855072463768115,689.5652173913044,0.7484472049689441,73.88198757763975,1.3312629399585922,38683.637681159424
Startup_367,2020-01-01,USA,E-commerce,Seed,94.0,4942.0,666.0,25.08,4.0,No,No,97.0,"C++, ML",3101741.0,1,0.134735990289298,0.01901679142221323,5.07384179647987,6.795918367346939,0.9591836734693877,255.91836734693877,0.1409295352323838,37.60119940029985,7.010526315789473,31650.418367346938
Startup_368,2019-01-01,Australia,EdTech,Series B,389.0,3776.0,311.0,4.15,9.0,Yes,Yes,99.0,"C++, ML",597219.0,1,0.08234048186391316,0.1029917924278528,1.0987556261583267,3.11,3.89,41.5,1.2467948717948718,13.301282051282051,0.7974358974358975,5972.19
Startup_369,2003-01-01,UK,Healthcare,IPO,113.0,4470.0,133.0,48.17,1.0,No,Yes,82.0,"PHP, Laravel",3458988.0,2,0.02974726012077835,0.025273987922165064,10.773876090360098,1.6024096385542168,1.3614457831325302,580.3614457831326,0.8432835820895522,359.4776119402985,1.1666666666666667,41674.55421686747
Startup_370,2015-01-01,Canada,Energy,Series C,443.0,4086.0,914.0,18.36,6.0,No,No,41.0,"Python, AI",3173678.0,1,0.22363591876682162,0.10839246390995841,4.492292635184732,21.761904761904763,10.547619047619047,437.14285714285717,0.48415300546448087,20.065573770491802,2.0585585585585586,75563.76190476191
Startup_371,2005-01-01,Japan,FoodTech,Series C,43.0,2358.0,770.0,19.33,1.0,No,No,39.0,"Node.js, React",1891073.0,0,0.3264094955489614,0.018228062738448497,8.194150063586266,19.25,1.075,483.25,0.055771725032425425,25.071335927367056,17.5,47276.825
Startup_372,2008-01-01,Canada,Energy,Seed,7.0,622.0,674.0,39.51,2.0,No,No,10.0,"C++, ML",2307012.0,0,1.0818619582664526,0.011235955056179775,63.41894060995185,61.27272727272727,0.6363636363636364,3591.818181818182,0.01037037037037037,58.53333333333333,84.25,209728.36363636365
Startup_373,2002-01-01,Canada,Energy,Series A,404.0,3768.0,146.0,48.58,6.0,No,Yes,34.0,"Python, AI",4930978.0,2,0.03873706553462457,0.10719023613690634,12.889360573096312,4.171428571428572,11.542857142857143,1388.0,2.748299319727891,330.4761904761905,0.36049382716049383,140885.08571428573
Startup_374,2020-01-01,India,E-commerce,Series A,477.0,444.0,187.0,46.12,4.0,No,No,91.0,"Python, AI",2842198.0,3,0.4202247191011236,1.0719101123595505,103.64044943820225,2.032608695652174,5.184782608695652,501.30434782608694,2.5372340425531914,245.31914893617022,0.3912133891213389,30893.456521739132
Startup_375,2015-01-01,Australia,AI,Series C,144.0,2935.0,520.0,11.17,5.0,No,No,57.0,"C++, ML",125038.0,1,0.1771117166212534,0.04904632152588556,3.8044959128065394,8.96551724137931,2.4827586206896552,192.58620689655172,0.2763915547024952,21.43953934740883,3.586206896551724,2155.8275862068967
Startup_376,2010-01-01,Australia,Logistics,Series A,376.0,3460.0,511.0,4.55,3.0,No,Yes,12.0,"Java, Spring",2858830.0,2,0.14764518925166137,0.10863912164114418,1.3146489453915053,39.30769230769231,28.923076923076923,350.0,0.734375,8.88671875,1.3554376657824934,219910.0
Startup_377,2010-01-01,China,Gaming,Series B,484.0,717.0,979.0,44.49,9.0,No,No,44.0,"Python, AI",3074084.0,1,1.3635097493036212,0.6740947075208914,61.96378830083565,21.755555555555556,10.755555555555556,988.6666666666666,0.49387755102040815,45.39795918367347,2.0185567010309278,68312.97777777778
Startup_378,2000-01-01,China,EdTech,Seed,3.0,3065.0,51.0,19.16,8.0,Yes,No,84.0,"C++, ML",4995986.0,3,0.016634050880626222,0.0009784735812133072,6.249184605348989,0.6,0.03529411764705882,225.41176470588235,0.057692307692307696,368.46153846153845,12.75,58776.30588235294
Startup_379,2013-01-01,Germany,Healthcare,IPO,56.0,2481.0,159.0,8.53,3.0,Yes,Yes,14.0,"Node.js, React",3996735.0,2,0.06406124093473006,0.022562449637389202,3.436744560838034,10.6,3.7333333333333334,568.6666666666666,0.35,53.3125,2.789473684210526,266449.0
Startup_380,2009-01-01,Germany,Gaming,IPO,64.0,3598.0,310.0,49.53,1.0,Yes,No,74.0,"Python, AI",4345725.0,2,0.08613503751041957,0.017782717421505972,13.762156154487357,4.133333333333334,0.8533333333333334,660.4,0.2057877813504823,159.2604501607717,4.769230769230769,57943.0
Startup_381,2022-01-01,Japan,E-commerce,Series A,317.0,1033.0,838.0,15.3,3.0,Yes,Yes,11.0,"C++, ML",356552.0,0,0.8104448742746615,0.3065764023210832,14.796905222437138,69.83333333333333,26.416666666666668,1275.0,0.3778307508939213,18.235995232419548,2.6352201257861636,29712.666666666668
Startup_382,2001-01-01,India,EdTech,Series B,153.0,386.0,76.0,23.88,6.0,Yes,No,64.0,"PHP, Laravel",1292139.0,3,0.19638242894056848,0.3953488372093023,61.70542635658915,1.1692307692307693,2.353846153846154,367.38461538461536,1.9870129870129871,310.12987012987014,0.4935064935064935,19879.061538461538
Startup_383,2013-01-01,Brazil,Gaming,IPO,212.0,1981.0,107.0,31.7,3.0,Yes,No,11.0,"C++, ML",3257972.0,2,0.05398587285570131,0.10696266397578204,15.993945509586277,8.916666666666666,17.666666666666668,2641.6666666666665,1.962962962962963,293.51851851851853,0.5023474178403756,271497.6666666667
Startup_384,2004-01-01,USA,EdTech,IPO,117.0,2805.0,812.0,10.23,2.0,Yes,No,39.0,"C++, ML",3325176.0,0,0.28937990021382753,0.041696364932287955,3.6457590876692803,20.3,2.925,255.75,0.14391143911439114,12.583025830258302,6.88135593220339,83129.4
Startup_385,2005-01-01,UK,FinTech,Series C,223.0,4845.0,555.0,18.19,4.0,No,Yes,64.0,"PHP, Laravel",2183861.0,1,0.11452744531572431,0.046017333883615355,3.7536112257531986,8.538461538461538,3.4307692307692306,279.84615384615387,0.4010791366906475,32.71582733812949,2.4776785714285716,33597.86153846154
Startup_386,2010-01-01,France,E-commerce,IPO,23.0,4758.0,888.0,12.83,7.0,No,No,35.0,"Java, Spring",4976136.0,1,0.18659382223156126,0.004832948098339987,2.6959445261609583,24.666666666666668,0.6388888888888888,356.3888888888889,0.025871766029246346,14.431946006749156,37.0,138226.0
Startup_387,2008-01-01,Germany,E-commerce,Series B,75.0,331.0,897.0,10.35,5.0,Yes,No,93.0,"Python, AI",3974736.0,0,2.7018072289156625,0.22590361445783133,31.174698795180724,9.542553191489361,0.7978723404255319,110.1063829787234,0.08351893095768374,11.525612472160356,11.802631578947368,42284.425531914894
Startup_388,2014-01-01,Japan,Tech,Series B,99.0,4965.0,416.0,26.69,4.0,Yes,No,66.0,"Python, AI",4661516.0,2,0.08376963350785341,0.019935561820378575,5.3745469190495365,6.208955223880597,1.4776119402985075,398.35820895522386,0.23741007194244604,64.00479616306954,4.16,69574.86567164179
Startup_389,2022-01-01,Brazil,Gaming,Series C,456.0,2450.0,359.0,13.44,7.0,Yes,No,37.0,"Java, Spring",1204818.0,3,0.14647082823337412,0.18604651162790697,5.483476132190942,9.447368421052632,12.0,353.6842105263158,1.2666666666666666,37.333333333333336,0.7855579868708972,31705.736842105263
Startup_390,2014-01-01,Brazil,Gaming,Seed,135.0,1177.0,7.0,49.47,1.0,No,No,92.0,"PHP, Laravel",1637630.0,2,0.005942275042444821,0.11460101867572156,41.99490662139219,0.07526881720430108,1.4516129032258065,531.9354838709677,16.875,6183.75,0.051470588235294115,17608.924731182797
Startup_391,2009-01-01,France,AI,IPO,381.0,3573.0,109.0,47.5,2.0,Yes,No,7.0,"Java, Spring",912702.0,2,0.030498041410184668,0.10660324566312256,13.290430889759373,13.625,47.625,5937.5,3.463636363636364,431.8181818181818,0.28534031413612565,114087.75
Startup_392,2001-01-01,Japan,FinTech,Series A,422.0,3177.0,261.0,4.37,7.0,No,No,78.0,"Java, Spring",484716.0,3,0.08212712397734424,0.13278791692888608,1.3750786658275644,3.3037974683544302,5.341772151898734,55.31645569620253,1.6106870229007633,16.6793893129771,0.6170212765957447,6135.645569620253
Startup_393,2016-01-01,India,AI,Seed,92.0,4207.0,326.0,26.46,7.0,Yes,Yes,62.0,"Python, AI",1912974.0,1,0.07747148288973384,0.021863117870722433,6.288022813688213,5.174603174603175,1.4603174603174602,420.0,0.28134556574923547,80.91743119266054,3.5053763440860215,30364.666666666668
Startup_394,2001-01-01,UK,E-commerce,Series A,269.0,2368.0,668.0,46.4,1.0,Yes,Yes,92.0,"Java, Spring",3683495.0,0,0.281975517095821,0.11355002110595187,19.586323343182777,7.182795698924731,2.89247311827957,498.9247311827957,0.4020926756352765,69.35724962630792,2.474074074074074,39607.47311827957
Startup_395,2015-01-01,USA,AI,Seed,8.0,1599.0,962.0,3.57,9.0,No,No,46.0,"Node.js, React",2169619.0,1,0.60125,0.005,2.23125,20.46808510638298,0.1702127659574468,75.95744680851064,0.008307372793354102,3.707165109034268,106.88888888888889,46162.10638297872
Startup_396,2020-01-01,China,AI,Series C,268.0,4621.0,547.0,25.56,5.0,Yes,No,93.0,"Node.js, React",1767573.0,1,0.11834703591518823,0.057983556901774126,5.530073561228905,5.819148936170213,2.851063829787234,271.9148936170213,0.48905109489051096,46.64233576642336,2.033457249070632,18803.968085106382
Startup_397,2004-01-01,Australia,FinTech,IPO,324.0,3149.0,719.0,14.97,4.0,Yes,No,4.0,"Java, Spring",445137.0,1,0.22825396825396826,0.10285714285714286,4.752380952380952,143.8,64.8,2994.0,0.45,20.791666666666668,2.212307692307692,89027.4
Startup_398,2022-01-01,Brazil,Logistics,Seed,242.0,4649.0,799.0,1.29,9.0,Yes,No,94.0,"Node.js, React",69777.0,1,0.1718279569892473,0.05204301075268817,0.27741935483870966,8.410526315789474,2.5473684210526315,13.578947368421053,0.3025,1.6125,3.288065843621399,734.4947368421052
Startup_399,2014-01-01,USA,Tech,Series B,23.0,2375.0,919.0,21.49,6.0,No,Yes,6.0,"C++, ML",2485849.0,1,0.3867845117845118,0.00968013468013468,9.044612794612794,131.28571428571428,3.2857142857142856,3070.0,0.025,23.358695652173914,38.291666666666664,355121.28571428574
Startup_400,2013-01-01,UK,FoodTech,Seed,241.0,4779.0,470.0,10.68,9.0,No,Yes,85.0,"Node.js, React",4857999.0,1,0.09832635983263599,0.05041841004184101,2.2343096234309625,5.465116279069767,2.802325581395349,124.18604651162791,0.5116772823779193,22.67515923566879,1.9421487603305785,56488.36046511628
Startup_401,2007-01-01,Japan,FoodTech,IPO,134.0,4135.0,188.0,7.03,8.0,Yes,Yes,79.0,"Java, Spring",3573186.0,3,0.045454545454545456,0.03239845261121857,1.6997098646034816,2.35,1.675,87.875,0.708994708994709,37.195767195767196,1.3925925925925926,44664.825
Startup_402,2003-01-01,China,Healthcare,Series B,142.0,153.0,998.0,11.99,6.0,Yes,Yes,81.0,"Python, AI",3689462.0,0,6.48051948051948,0.922077922077922,77.85714285714286,12.170731707317072,1.7317073170731707,146.21951219512195,0.14214214214214213,12.002002002002001,6.979020979020979,44993.439024390245
